sampleMetadata	gene	mouse_nb	sex	initial_name	class	InjOrder	SourisGenre	Genre	Type	BW	injectionOrder	sampleType	batch	pca_sco1	pca_sco2	hotel_pval	miss_pval	deci_pval	id
X501f	MX2	501	F	Ec57697P_501F_M_Lo_GB8_01_16921	Sample	16921	501F	F	M	Lo	16921	sample	pos	-47.3395993599178	-26.2666087565335	0.284336630233865	1	0.274000273490841	X501f
X502m	MX2	502	M	Ec57711P_502M_M_Hi_GD6_01_16937	Sample	16937	502M	M	M	Hi	16937	sample	pos	46.850759876208	-35.0619231611807	0.204189902356268	1	0.140957705558215	X502m
X503m	MX2	503	M	Ec57702P_503M_M_Hi_GC5_01_16927	Sample	16927	503M	M	M	Hi	16927	sample	pos	60.6306762755549	-27.0051989335501	0.169537526309108	1	0.00568618540743837	X503m
X506m	MX2	506	M	Ec57718P_506M_M_Hi_GE5_01_16945	Sample	16945	506M	M	M	Hi	16945	sample	pos	69.8732574873548	-28.8653412455929	0.105979513813092	1	0.0204256361546666	X506m
X508f	MX2	508	F	Ec57719P_508F_M_Lo_GE6_01_16946	Sample	16946	508F	F	M	Lo	16946	sample	pos	-39.9186059271077	-21.7999564979374	0.410192277810497	1	0.446758850438878	X508f
X509f	MX2	509	F	Ec57713P_509F_M_Lo_GD8_01_16939	Sample	16939	509F	F	M	Lo	16939	sample	pos	-42.1436762056251	-28.3125669717836	0.310802329233426	1	0.681334142802341	X509f
X513m	MX2	513	M	Ec57686P_513M_M_Hi_GA5_01_16908	Sample	16908	513M	M	M	Hi	16908	sample	pos	52.972214289887	0.458724703728321	0.365962301024765	1	0.0852055167083337	X513m
X517f	MX2	517	F	Ec57705P_517F_M_Lo_GC8_01_16930	Sample	16930	517F	F	M	Lo	16930	sample	pos	-25.2617967698509	-28.9285619771855	0.452718405608795	1	0.627542909345311	X517f
X518f	MX2	518	F	Ec57694P_518F_M_Lo_GB5_01_16917	Sample	16917	518F	F	M	Lo	16917	sample	pos	-33.3850100905453	24.9328906064408	0.441001502897413	1	0.00340119369429459	X518f
X521f	MX2	521	F	Ec57725P_521F_M_Lo_BA4_01_16953	Sample	16953	521F	F	M	Lo	16953	sample	pos	-35.1798663085959	-11.9161436318959	0.580531630150913	1	0.378358654968277	X521f
X527m	MX2	527	M	Ec57706P_527M_M_Hi_GD1_01_16931	Sample	16931	527M	M	M	Hi	16931	sample	pos	-0.886316935214167	60.2077600316174	0.0948075793659873	1	0.160559253770647	X527m
X528m	MX2	528	M	Ec57724P_528M_M_Hi_BA3_01_16952	Sample	16952	528M	M	M	Hi	16952	sample	pos	18.7033612040884	56.8799238271305	0.107502588868408	1	0.626466190559036	X528m
X529f	MX2	529	F	Ec57700P_529F_M_Lo_GC3_01_16924	Sample	16924	529F	F	M	Lo	16924	sample	pos	-44.3619572409213	-13.2330075971374	0.438073299664962	1	0.115290479612649	X529f
X531f	MX2	531	F	Ec57688P_531F_M_Lo_GA7_01_16910	Sample	16910	531F	F	M	Lo	16910	sample	pos	-41.1871745403888	-12.5466421220754	0.487970332210167	1	0.179280104821083	X531f
W616f	WT	616	F	Ec57698P_616F_C_Lo_GC1_01_16922	Sample	16922	616F	F	C	Lo	16922	sample	pos	-42.139213435095	-10.9089362926717	0.486667071666242	1	0.105072884813341	W616f
W617f	WT	617	F	Ec57684P_617F_C_Lo_GA3_01_16906	Sample	16906	617F	F	C	Lo	16906	sample	pos	-46.562725859355	-7.71357648286379	0.440552385422912	1	0.340182209279498	W617f
W620f	WT	620	F	Ec57717P_620F_C_Lo_GE4_01_16944	Sample	16944	620F	F	C	Lo	16944	sample	pos	-33.4615518889541	-18.3986703975146	0.531105530449567	1	0.420164978595913	W620f
W621f	WT	621	F	Ec57708P_621F_C_Lo_GD3_01_16934	Sample	16934	621F	F	C	Lo	16934	sample	pos	-37.6166019314341	64.6667916667038	0.042714194950353	1	0.0154959238393499	W621f
W622f	WT	622	F	Ec57723P_622F_C_Lo_BA2_01_16951	Sample	16951	622F	F	C	Lo	16951	sample	pos	-27.5324315060781	-1.56970590878476	0.757644190696385	1	0.270973256806709	W622f
W623f	WT	623	F	Ec57712P_623F_C_Lo_GD7_01_16938	Sample	16938	623F	F	C	Lo	16938	sample	pos	-23.4617846955393	1.23180126288705	0.817350142531111	1	0.329135958769026	W623f
W625m	WT	625	M	Ec57703P_625M_C_Hi_GC6_01_16928	Sample	16928	625M	M	C	Hi	16928	sample	pos	25.5595297065899	9.82261517017661	0.73845033397607	1	0.314346235968747	W625m
W627m	WT	627	M	Ec57721P_627M_C_Hi_GE8_01_16949	Sample	16949	627M	M	C	Hi	16949	sample	pos	46.8262688925652	6.32376545265684	0.442400927500311	1	0.379752128992755	W627m
W628m	WT	628	M	Ec57685P_628M_C_Hi_GA4_01_16907	Sample	16907	628M	M	C	Hi	16907	sample	pos	45.1985566381665	9.43641345040984	0.45158274024627	1	0.594791696270259	W628m
W629m	WT	629	M	Ec57714P_629M_C_Lo_GE1_01_16941	Sample	16941	629M	M	C	Lo	16941	sample	pos	34.6839553261052	-13.4384847279612	0.572802900706503	1	0.104376330819941	W629m
W630m	WT	630	M	Ec57696P_630M_C_Hi_GB7_01_16920	Sample	16920	630M	M	C	Hi	16920	sample	pos	42.380555589766	12.2381284888944	0.473406551996207	1	0.25554011217714	W630m
W631m	WT	631	M	Ec57690P_631M_C_Hi_GB1_01_16913	Sample	16913	631M	M	C	Hi	16913	sample	pos	31.2630572866594	29.6798315527968	0.390196875066339	1	0.683013459050241	W631m
W632f	WT	632	F	Ec57704P_632F_C_Lo_GC7_01_16929	Sample	16929	632F	F	C	Lo	16929	sample	pos	-32.0386000173177	-29.2121525399281	0.390523838956179	1	0.261966613240742	W632f
W633f	WT	633	F	Ec57692P_633F_C_Lo_GB3_01_16915	Sample	16915	633F	F	C	Lo	16915	sample	pos	-40.9260176114329	-10.367161975018	0.508275951392125	1	0.208949111788797	W633f
W634m	WT	634	M	Ec57710P_634M_C_Hi_GD5_01_16936	Sample	16936	634M	M	C	Hi	16936	sample	pos	52.355110796648	-19.8360129166181	0.28971849661075	1	0.23403184952984	W634m
L818f	LAT	818	F	Ec57701P_818F_L_Lo_GC4_01_16925	Sample	16925	818F	F	L	Lo	16925	sample	pos	-19.613263276444	-22.9741260527364	0.608588739887713	1	0.609336346821819	L818f
L819f	LAT	819	F	Ec57691P_819F_L_Lo_GB2_01_16914	Sample	16914	819F	F	L	Lo	16914	sample	pos	-16.5623370890711	-32.2108590698469	0.450926229665186	1	0.573145524774273	L819f
L824m	LAT	824	M	Ec57699P_824M_L_Hi_GC2_01_16923	Sample	16923	824M	M	L	Hi	16923	sample	pos	38.120144291089	-2.8402876836294	0.587799308107843	1	0.424164326214072	L824m
L825m	LAT	825	M	Ec57707P_825M_L_Hi_GD2_01_16932	Sample	16932	825M	M	L	Hi	16932	sample	pos	47.5242123118374	-10.5140545739293	0.412590114181659	1	0.118779376772403	L825m
L826m	LAT	826	M	Ec57720P_826M_L_Hi_GE7_01_16948	Sample	16948	826M	M	L	Hi	16948	sample	pos	44.3461499925961	-10.2418575615089	0.459107217869265	1	0.141176049963878	L826m
L827m	LAT	827	M	Ec57689P_827M_L_Lo_GA8_01_16911	Sample	16911	827M	M	L	Lo	16911	sample	pos	32.954441875684	-5.49984425822642	0.660636469569532	1	0.238579006231571	L827m
L836f	LAT	836	F	Ec57709P_836F_L_Hi_GD4_01_16935	Sample	16935	836F	F	L	Hi	16935	sample	pos	-37.4133468662043	50.5441384282535	0.115750789765066	1	0.0753830227600232	L836f
L841f	LAT	841	F	Ec57722P_841F_L_Lo_BA1_01_16950	Sample	16950	841F	F	L	Lo	16950	sample	pos	-23.5970993000884	-27.1191249973374	0.498342087841117	1	0.495715417418051	L841f
